museum,museumLabel,creation_date,visitors,coord,image
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,4480,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,1949,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,2035,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,2441,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,2644,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,2687,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,2791,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,3395,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,3567,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,4008,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,4031,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,4385,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,4414,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,4487,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30105607,Musée de Saint-Chamas,,4622,Point(5.034151554 43.548194885),
http://www.wikidata.org/entity/Q30218775,musée Bernard-d'Agesci,,12500,Point(-0.454444444 46.320833333),http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20Bernard%20d%27Agesci%202.jpg
